<root>
	<u32 name="magic">3586350318</u32>
	<u32 name="version">3</u32>
	<string name="name">Scene</string>
	<array name="entities" count="10">
		<string name="id">1bbeb4f2-e82e-49e9-a81c-fdebe00fa2ec</string>
		<string name="name">Sun</string>
		<u8 name="active">1</u8>
		<string name="parent">00000000-0000-0000-0000-000000000000</string>
		<object name="position">
			<f32 name="x">0</f32>
			<f32 name="y">10</f32>
			<f32 name="z">0</f32>
		</object>
		<object name="rotation">
			<f32 name="x">-0.4082179</f32>
			<f32 name="y">-0.23456971</f32>
			<f32 name="z">-0.10938165</f32>
			<f32 name="w">0.87542605</f32>
		</object>
		<object name="scale">
			<f32 name="x">1</f32>
			<f32 name="y">1</f32>
			<f32 name="z">1</f32>
		</object>
		<string name="id">b1e1a434-be56-468d-aadd-8c949f1b63f5</string>
		<string name="name">Ground</string>
		<u8 name="active">1</u8>
		<string name="parent">00000000-0000-0000-0000-000000000000</string>
		<object name="position">
			<f32 name="x">0</f32>
			<f32 name="y">0</f32>
			<f32 name="z">0</f32>
		</object>
		<object name="rotation">
			<f32 name="x">0</f32>
			<f32 name="y">0</f32>
			<f32 name="z">0</f32>
			<f32 name="w">1</f32>
		</object>
		<object name="scale">
			<f32 name="x">52</f32>
			<f32 name="y">1</f32>
			<f32 name="z">52</f32>
		</object>
		<string name="id">38bfe349-e560-4e3d-a6ad-0ba46587fa97</string>
		<string name="name">WallN</string>
		<u8 name="active">1</u8>
		<string name="parent">00000000-0000-0000-0000-000000000000</string>
		<object name="position">
			<f32 name="x">0</f32>
			<f32 name="y">1.5</f32>
			<f32 name="z">25</f32>
		</object>
		<object name="rotation">
			<f32 name="x">0</f32>
			<f32 name="y">0</f32>
			<f32 name="z">0</f32>
			<f32 name="w">1</f32>
		</object>
		<object name="scale">
			<f32 name="x">52</f32>
			<f32 name="y">3</f32>
			<f32 name="z">1</f32>
		</object>
		<string name="id">58ce0bbf-a76b-435a-8a5a-9c9be28a991b</string>
		<string name="name">WallS</string>
		<u8 name="active">1</u8>
		<string name="parent">00000000-0000-0000-0000-000000000000</string>
		<object name="position">
			<f32 name="x">0</f32>
			<f32 name="y">1.5</f32>
			<f32 name="z">-25</f32>
		</object>
		<object name="rotation">
			<f32 name="x">0</f32>
			<f32 name="y">0</f32>
			<f32 name="z">0</f32>
			<f32 name="w">1</f32>
		</object>
		<object name="scale">
			<f32 name="x">52</f32>
			<f32 name="y">3</f32>
			<f32 name="z">1</f32>
		</object>
		<string name="id">9db36787-0338-4db6-a097-2fe90f9093af</string>
		<string name="name">WallE</string>
		<u8 name="active">1</u8>
		<string name="parent">00000000-0000-0000-0000-000000000000</string>
		<object name="position">
			<f32 name="x">25</f32>
			<f32 name="y">1.5</f32>
			<f32 name="z">0</f32>
		</object>
		<object name="rotation">
			<f32 name="x">0</f32>
			<f32 name="y">0</f32>
			<f32 name="z">0</f32>
			<f32 name="w">1</f32>
		</object>
		<object name="scale">
			<f32 name="x">1</f32>
			<f32 name="y">3</f32>
			<f32 name="z">52</f32>
		</object>
		<string name="id">3d6d624c-301a-4eb3-93fb-a272473499e4</string>
		<string name="name">WallW</string>
		<u8 name="active">1</u8>
		<string name="parent">00000000-0000-0000-0000-000000000000</string>
		<object name="position">
			<f32 name="x">-25</f32>
			<f32 name="y">1.5</f32>
			<f32 name="z">0</f32>
		</object>
		<object name="rotation">
			<f32 name="x">0</f32>
			<f32 name="y">0</f32>
			<f32 name="z">0</f32>
			<f32 name="w">1</f32>
		</object>
		<object name="scale">
			<f32 name="x">1</f32>
